targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
3,0,39,1,7.40458,76.6565
0,0,39,0,7.49862,76.318
2,0,39,1,7.95506,93.4978
0,1,16,0,9.16093,124.267
1,0,39,0,8.45222,110.33
0,0,39,0,7.74291,79.3697
1,1,16,0,8.12094,85.7524
2,1,20,0,10.2899,139.48
2,1,22,0,8.26275,88.4048
1,0,39,0,7.57844,79.6259
3,0,39,1,8.73382,116.897
0,1,27,0,8.00584,91.2392
2,0,39,1,7.36432,72.2141
0,0,39,0,7.01423,67.9982
0,1,16,0,9.92525,144.155
2,1,16,0,10.6681,176.746
0,1,22,0,7.69766,69.0245
1,1,22,0,8.47336,91.4039
1,0,39,0,8.20039,101.352
2,1,16,0,10.026,120.108
0,0,39,0,7.79178,85.0973
2,1,16,0,9.26164,124.522
1,1,16,0,8.40489,99.3307
1,1,20,0,10.5517,145.954
1,0,39,0,6.66183,60.9448
1,1,27,0,6.69238,61.0385
1,1,20,0,9.45658,122.83
1,1,22,0,9.29923,126.441
1,0,39,0,7.84803,88.1465
1,1,16,0,8.82113,98.1177
0,0,39,0,7.33372,76.8658
2,0,39,1,7.0432,66.2083
2,0,39,1,7.81976,81.1094
1,1,20,0,9.03486,104.095
2,0,39,1,6.9689,63.5875
2,0,39,1,8.40516,106.646
2,1,27,0,8.20354,97.0491
1,1,16,0,9.28932,122.842
3,0,39,1,8.3493,101.655
1,1,27,0,8.29288,88.0647
3,0,39,1,7.96701,95.8875
0,1,27,0,7.08724,67.7282
1,1,16,0,7.59318,74.0654
1,1,16,0,9.13696,112.855
3,0,39,1,7.55798,73.2842
1,0,39,0,7.23474,75.0726
2,1,20,0,10.1839,146.601
1,0,39,0,8.17035,96.7725
0,0,39,0,7.46596,78.2456
0,1,20,0,8.44897,84.6334
1,0,39,0,7.0874,67.2534
0,1,22,0,9.74745,117.347
0,1,16,0,7.14069,63.2686
1,0,39,0,7.65398,85.0402
1,0,39,0,7.08367,70.8752
2,1,22,0,7.32157,70.6946
2,1,22,0,8.62835,96.0878
0,0,39,0,7.93787,89.4184
1,1,22,0,7.19838,67.9494
0,1,22,0,7.82874,75.5548
1,1,22,0,8.4586,96.6614
1,1,16,0,9.77595,133.299
1,1,27,0,7.06948,67.0882
1,0,39,0,7.25218,67.2702
0,1,27,0,8.41043,97.9553
1,1,20,0,7.8477,78.7932
3,0,39,1,7.98839,92.7411
0,1,16,0,8.15283,84.57
2,0,39,1,7.34883,73.0313
2,0,39,1,7.07348,65.8086
0,1,22,0,6.79634,59.9514
1,1,16,0,7.53493,78.1412
2,1,16,0,8.01598,85.8289
2,0,39,1,6.29233,54.1251
1,1,22,0,7.85843,84.8207
1,1,16,0,8.71377,107.723
2,0,39,1,5.89111,47.5657
1,1,22,0,6.8339,57.3113
4,0,39,1,6.41173,60.8513
1,0,39,0,6.80616,66.2461
1,1,22,0,7.22323,66.2394
0,1,16,0,8.19374,87.2937
1,1,22,0,9.71979,127.179
0,1,22,0,10.7586,159.948
1,1,22,0,7.12987,63.8231
0,1,22,0,6.95763,64.6029
1,1,22,0,8.11685,84.1037
1,0,39,0,6.19177,49.5122
2,0,39,1,6.94335,70.2598
0,1,16,0,7.64222,76.7316
2,0,39,1,6.67051,60.5732
1,1,20,0,7.17682,66.2399
3,0,39,1,7.33713,78.3231
1,0,39,0,7.15845,76.7089
2,1,20,0,9.37274,123.464
0,1,16,0,7.39542,72.2268
2,0,39,1,6.66705,62.6964
0,0,39,0,5.67226,43.4633
1,0,39,0,5.86275,48.2757
1,0,39,0,7.22691,78.7831
0,1,16,0,7.38188,76.8105
1,0,39,0,7.10915,74.0396
1,0,39,0,6.24243,53.501
0,1,16,0,7.54336,77.0732
1,1,16,0,6.74815,58.3496
3,0,39,1,6.77039,59.9717
1,1,16,0,8.06538,79.2372
0,1,22,0,7.6777,74.3643
1,0,39,0,5.85124,47.528
2,0,39,1,6.17819,54.4982
0,1,16,0,6.16349,45.6435
0,1,16,0,7.47968,80.3216
0,1,16,0,6.6893,55.8049
1,0,39,0,6.87659,65.942
1,1,16,0,7.03203,60.8415
2,0,39,1,6.46701,61.5489
2,0,39,1,6.93988,71.7233
1,0,39,0,6.93555,69.4273
1,1,16,0,7.76748,79.5463
0,1,16,0,6.19877,44.7627
0,1,16,0,9.23377,115.456
1,1,27,0,7.24268,73.9421
2,0,39,1,6.11091,54.4019
1,1,16,0,8.20329,91.0453
1,0,39,0,6.85381,63.0119
3,1,20,0,8.63029,108.507
1,0,39,0,6.67158,62.2689
2,0,39,1,6.59807,60.8332
3,0,39,1,5.97898,47.9224
2,1,27,0,6.48762,58.7433
1,0,39,0,6.07018,48.9273
2,1,22,0,7.19988,69.298
1,0,39,0,6.52369,59.0325
2,0,39,1,6.81331,67.4535
2,0,39,1,6.18787,51.018
0,0,39,0,5.94471,46.3888
1,0,39,0,5.65445,43.9816
1,1,27,0,6.73496,59.1291
1,1,16,0,8.31607,93.7932
2,1,20,0,9.32776,117.53
1,0,39,0,7.11292,75.5824
2,0,39,1,7.17925,72.7213
0,1,22,0,8.5704,100.598
0,1,22,0,7.53217,77.7475
1,0,39,0,6.74495,68.9709
1,0,39,0,6.64026,62.6055
1,1,20,0,8.35162,93.0315
1,0,39,0,6.87346,70.1164
2,1,27,0,111.044,301075
3,0,39,1,6.83938,64.1127
2,1,27,0,6.8467,65.8121
1,1,27,0,6.12239,50.1749
3,0,39,1,5.42439,38.8555
1,1,20,0,9.19031,122.048
1,1,16,0,6.67238,58.4363
0,0,39,0,6.99033,70.5254
2,1,16,0,7.41467,77.332
1,1,16,0,7.9286,83.3226
3,0,39,1,6.34772,58.1186
1,1,22,0,6.93614,59.1191
0,1,20,0,8.18069,84.6549
1,1,20,0,7.71391,75.9766
2,1,27,0,6.39423,58.1742
1,0,39,0,6.4542,56.6289
3,0,39,1,7.29899,83.7597
0,0,39,0,5.97582,49.0391
2,0,39,1,7.04791,70.4535
2,0,39,1,6.35911,60.7296
1,1,20,0,9.20991,110.632
0,0,39,0,6.81636,67.8435
2,0,39,1,5.79812,44.28
2,0,39,1,6.47676,59.0424
1,0,39,0,6.83258,63.0159
3,0,39,1,6.57416,57.456
2,1,16,0,7.6575,86.3376
0,0,39,0,5.9951,53.5748
0,0,39,0,7.50023,81.8893
0,1,27,0,7.90631,84.6796
2,1,20,0,10.8916,156.665
4,0,39,1,7.42337,77.2632
3,1,22,0,7.98024,84.1817
0,1,16,0,9.17462,117.464
2,0,39,1,6.32562,59.5502
0,1,20,0,7.18079,64.1492
1,0,39,0,7.77219,86.6798
3,0,39,1,8.8311,120.393
2,0,39,1,6.82135,63.967
2,1,22,0,8.22882,88.0371
1,0,39,0,6.6009,63.4372
2,0,39,1,8.04387,96.506
0,1,16,0,6.48099,51.8719
1,0,39,0,6.15926,51.5631
3,1,27,0,6.81839,68.3659
0,0,39,0,6.05875,48.011
2,0,39,1,6.95575,74.1292
1,0,39,0,6.04257,47.0117
3,0,39,1,5.89218,49.6814
2,0,39,1,6.00718,48.6693
2,1,20,0,8.2897,89.8746
3,1,22,0,7.73769,85.3465
2,0,39,1,6.30751,57.224
1,0,39,0,5.71793,42.2266
2,0,39,1,6.63091,64.3379
1,0,39,0,6.33075,57.7816
0,0,39,0,5.78621,44.7164
1,1,16,0,7.98902,86.02
1,1,16,0,7.49639,68.4575
2,1,20,0,7.78735,80.4907
1,0,39,0,5.59703,43.2081
3,1,22,0,7.31501,73.1323
1,0,39,0,6.13071,50.6614
1,0,39,0,6.87816,64.8485
1,1,16,0,5.98994,43.2284
0,1,16,0,7.07678,68.2082
2,0,39,1,6.39973,54.9822
0,1,16,0,7.34613,75.2351
2,0,39,1,6.45378,61.7616
0,1,16,0,7.33737,69.2003
4,0,39,1,7.01608,68.9595
1,0,39,0,6.86215,69.528
1,0,39,0,6.21696,54.1804
2,0,39,1,6.32785,59.5676
2,0,39,1,7.15358,78.0059
0,1,16,0,6.74526,57.6237
2,0,39,1,6.22626,52.7932
0,0,39,0,6.44046,59.0423
2,0,39,1,7.30262,74.8726
2,1,22,0,6.65967,53.4866
2,1,16,0,6.89747,66.5044
2,1,20,0,7.58139,78.3074
1,0,39,0,6.8759,68.0685
1,1,27,0,6.18444,51.2314
3,0,39,1,5.57736,41.9246
1,0,39,0,7.209,81.8389
2,0,39,1,6.99152,67.5425
2,0,39,1,6.45941,57.3081
2,1,22,0,6.48413,55.3985
1,1,27,0,6.34336,51.4363
3,0,39,1,8.47329,106.748
1,1,20,0,8.75142,100.567
1,0,39,0,6.73235,66.4054
2,1,20,0,9.65875,126.356
2,1,16,0,8.80921,108.73
1,0,39,0,7.6209,87.2953
1,0,39,0,7.93048,94.3874
2,0,39,1,7.24749,75.5264
0,1,20,0,9.08437,111.58
3,0,39,1,7.74674,83.2817
1,0,39,0,7.96025,95.301
3,0,39,1,8.2951,100.328
3,1,22,0,7.39134,67.5942
3,0,39,1,7.77357,84.9418
1,1,20,0,9.46291,113.941
2,1,20,0,10.3751,140.477
3,0,39,1,7.91599,93.7622
2,0,39,1,8.49895,104.381
2,1,22,0,9.41913,124.141
1,0,39,0,7.97034,94.2303
1,0,39,0,6.43717,58.6575
3,0,39,1,7.61046,81.2732
2,1,16,0,7.04286,66.3786
0,0,39,0,7.63278,90.6169
0,1,22,0,8.58155,99.5223
1,0,39,0,6.44266,57.6959
1,0,39,0,6.33976,56.3632
0,0,39,0,7.05283,75.0988
1,0,39,0,7.05908,80.2309
2,0,39,1,6.29371,54.0185
1,1,27,0,7.21707,81.8347
0,1,16,0,7.64304,87.915
0,1,22,0,7.61352,84.7639
1,1,22,0,8.7008,112.398
2,1,20,0,8.84421,108.061
1,0,39,0,7.49197,85.0804
0,0,39,0,6.17168,51.169
2,0,39,1,6.27967,55.2368
2,0,39,1,6.27808,55.7261
1,0,39,0,6.60129,59.1709
2,0,39,1,6.69876,62.7258
1,0,39,0,7.77541,82.5533
1,0,39,0,7.07871,70.771
3,1,20,0,9.33262,126.348
1,1,16,0,7.6426,83.4208
3,0,39,1,6.08226,53.4755
2,1,16,0,7.58419,80.358
1,0,39,0,5.45012,41.6161
1,0,39,0,6.14813,56.768
0,0,39,0,5.32892,37.7068
1,0,39,0,5.72926,45.0396
1,0,39,0,6.85539,64.8981
3,0,39,1,5.98481,52.4458
1,1,27,0,6.22428,52.0928
2,0,39,1,5.75104,48.0726
2,0,39,1,6.07141,52.4996
1,1,20,0,6.97295,68.6222
3,1,20,0,7.84352,81.7453
3,0,39,1,7.25431,77.2401
1,0,39,0,7.80966,90.745
1,0,39,0,6.45383,60.3311
1,1,22,0,6.23166,47.2495
0,1,16,0,7.4617,71.1697
1,1,20,0,9.20775,114.671
1,1,27,0,7.53668,70.7838
1,0,39,0,9.11655,125.947
1,1,16,0,8.99443,115.154
0,1,16,0,7.29301,71.0893
1,1,16,0,7.71715,72.32
3,0,39,1,6.5124,55.6527
1,0,39,0,7.29422,75.2069
2,0,39,1,8.01319,93.5281
2,1,27,0,8.1071,95.0118
1,1,20,0,9.75396,132.969
0,1,22,0,7.29788,68.1135
2,1,20,0,8.60768,95.1111
0,1,16,0,8.89085,92.6601
1,0,39,0,7.65841,90.3965
0,1,16,0,9.22022,108.243
1,1,27,0,8.04226,107.118
0,1,20,0,7.77248,78.7909
2,0,39,1,7.71152,83.9117
0,0,39,0,6.29533,53.7005
0,1,27,0,7.47604,78.924
2,0,39,1,7.15656,73.2766
0,0,39,0,6.53413,57.1171
1,1,16,0,7.58264,76.2527
1,0,39,0,7.34922,79.0026
1,1,22,0,5.77698,39.8873
2,0,39,1,7.267,77.375
2,1,27,0,7.95406,91.0595
2,0,39,1,6.88802,75.692
1,1,27,0,7.8885,84.5919
2,0,39,1,6.96545,71.2122
2,0,39,1,6.43842,52.8974
1,1,27,0,6.61699,54.2264
1,0,39,0,5.75033,41.5575
1,0,39,0,5.98427,51.0424
2,1,20,0,9.58489,116.278
1,0,39,0,6.98746,70.9782
2,1,22,0,7.93771,88.5448
1,1,16,0,9.33551,122.435
1,0,39,0,6.32954,55.1938
2,0,39,1,7.63567,84.3831
0,1,20,0,7.33104,67.8039
3,1,27,0,6.45986,55.5324
1,0,39,0,5.97889,45.6267
0,1,16,0,8.05386,86.0299
0,1,16,0,8.56656,100.262
1,0,39,0,6.61981,59.5893
1,0,39,0,6.50818,63.6211
1,1,27,0,7.57773,80.8606
3,0,39,1,8.52476,107.704
2,0,39,1,7.04267,75.7369
3,0,39,1,7.08164,73.3752
0,1,16,0,9.10666,120.897
1,0,39,0,6.68033,65.2694
1,0,39,0,6.04051,47.8609
1,0,39,0,7.1313,70.0468
2,0,39,1,6.50842,61.8512
2,0,39,1,5.77492,44.1237
2,1,16,0,7.11104,67.1388
1,0,39,0,6.90972,71.0334
2,1,16,0,9.02053,101.288
0,0,39,0,6.43144,55.4298
0,1,16,0,8.63077,93.3666
1,1,27,0,6.01489,48.5488
2,1,16,0,8.51438,102.87
1,0,39,0,6.73415,63.4442
0,1,20,0,7.75582,72.8295
0,1,22,0,9.84599,135.13
1,1,27,0,8.58626,117.478
1,0,39,0,7.44982,87.3337
1,0,39,0,5.77997,43.8217
0,1,20,0,8.97321,107.076
1,0,39,0,6.93173,70.5429
1,1,16,0,9.20535,119.984
0,1,22,0,7.01467,65.3949
2,1,20,0,8.51138,95.161
1,0,39,0,5.87718,46.024
1,0,39,0,6.6719,62.0359
0,1,27,0,6.51661,60.7047
2,1,20,0,8.75439,102.752
2,0,39,1,91.2331,283028
1,0,39,0,7.16242,77.9103
1,0,39,0,6.74145,61.6814
2,0,39,1,7.04192,71.3417
2,0,39,1,8.02177,91.5318
2,0,39,1,6.39908,59.0016
2,0,39,1,6.05763,47.3524
2,0,39,1,7.06194,75.038
2,1,27,0,7.94681,87.491
1,1,22,0,7.58156,77.0808
3,1,20,0,9.11004,112.964
0,1,16,0,8.75552,101.529
1,0,39,0,6.77059,68.6691
3,0,39,1,7.16431,73.4605
1,0,39,0,6.94344,70.6589
1,1,16,0,7.94971,84.9436
0,1,27,0,7.55518,71.7271
2,1,27,0,7.17849,65.9305
2,1,22,0,8.97205,106.805
1,0,39,0,6.56462,57.4707
0,0,39,0,6.98013,68.2176
3,0,39,1,6.78443,63.0577
1,1,22,0,6.85535,57.1825
1,0,39,0,6.74043,73.9988
1,1,16,0,6.9552,60.5106
3,0,39,1,7.04572,70.2501
1,0,39,0,6.84678,64.8252
2,0,39,1,7.16211,74.4511
2,0,39,1,6.91583,72.0196
2,1,27,0,7.24915,71.773
1,1,27,0,7.40982,68.8408
0,0,39,0,6.24602,50.4017
0,1,22,0,8.29927,98.4281
3,0,39,1,6.45522,58.9328
1,0,39,0,7.53193,97.2599
2,0,39,1,7.63697,86.3793
1,0,39,0,7.67475,84.2808
2,1,27,0,6.39923,49.5893
1,0,39,0,7.13612,73.8301
2,0,39,1,7.17756,69.661
0,1,27,0,7.36872,76.498
2,0,39,1,6.68705,63.8214
3,0,39,1,7.3465,72.9741
0,1,16,0,7.14836,60.8802
1,0,39,0,6.62935,60.1626
1,0,39,0,7.00508,67.783
1,0,39,0,6.18517,54.824
2,1,16,0,7.4046,77.5055
3,0,39,1,6.48963,56.2298
2,0,39,1,6.62944,64.3995
1,1,16,0,7.24764,71.1859
1,0,39,0,7.63899,82.0992
1,1,16,0,8.56005,95.3681
2,0,39,1,7.6213,79.5183
1,0,39,0,7.09445,67.7526
1,0,39,0,8.74969,130.205
2,1,22,0,9.08716,118.166
2,1,22,0,9.21384,111.378
1,0,39,0,8.30408,109.904
0,0,39,0,7.50401,80.0156
1,0,39,0,6.89857,67.5421
3,0,39,1,9.17433,116.286
2,0,39,1,7.37703,73.9973
2,1,20,0,156.855,440351
1,0,39,0,8.80947,116.479
2,1,27,0,7.06058,65.5335
2,1,27,0,8.28766,94.7798
0,0,39,0,8.79117,113.11
1,0,39,0,7.89024,92.1016
1,0,39,0,7.49307,74.1672
0,1,20,0,9.17479,115.938
0,0,39,0,85.7606,244188
0,1,16,0,9.36047,120.153
2,1,22,0,8.2957,91.1859
3,0,39,1,6.70679,60.2551
2,0,39,1,6.15392,47.9118
2,1,16,0,7.53242,83.7167
2,1,16,0,6.87245,66.8728
4,0,39,1,7.45927,87.265
2,0,39,1,7.8727,89.8571
0,0,39,0,8.06312,95.7093
0,1,16,0,8.88093,104.356
0,1,16,0,8.53869,101.392
1,0,39,0,7.76673,95.7189
1,0,39,0,7.40024,85.6624
2,0,39,1,7.19592,67.5023
3,0,39,1,7.37581,76.5704
0,1,16,0,8.0328,84.6024
0,0,39,0,8.73483,126.123
1,0,39,0,7.11821,71.1891
2,1,16,0,8.55836,114.352
2,1,16,0,8.33895,101.106
1,1,16,0,9.08406,107.085
0,0,39,0,7.63446,78.9353
1,1,22,0,8.28635,90.8539
0,0,39,0,8.11278,99.9833
2,1,20,0,9.49448,122.452
1,1,16,0,8.15538,93.3653
1,1,16,0,7.96271,86.9623
1,1,27,0,7.09787,62.7751
1,0,39,0,6.86335,62.1178
2,1,16,0,8.86137,104.372
0,0,39,0,7.18266,69.5797
1,1,16,0,8.55363,98.2972
2,0,39,1,8.20783,105.461
4,0,39,1,7.10823,68.3908
1,0,39,0,8.16076,103.226
1,1,16,0,10.1058,140.123
2,0,39,1,8.03629,94.3151
2,1,16,0,8.70599,104.33
1,1,16,0,10.1169,135.525
2,1,27,0,9.09637,109.864
1,0,39,0,8.4134,105.342
1,1,16,0,8.30792,89.265
0,1,22,0,10.376,140.653
3,0,39,1,7.33876,76.2829
2,1,16,0,8.68737,112.365
3,0,39,1,8.19726,108.035
3,0,39,1,7.80842,95.8013
0,0,39,0,7.55215,80.2306
1,0,39,0,7.25786,72.9723
2,1,20,0,10.2418,142.345
1,0,39,0,8.26481,103.958
3,1,22,0,8.65942,110.063
1,1,22,0,8.34641,95.8987
3,1,27,0,8.19115,95.5519
0,1,27,0,7.52881,73.6617
1,1,22,0,8.58638,110.086
2,1,20,0,9.95413,129.859
2,1,27,0,8.42637,105.373
1,1,16,0,8.70919,101.394
1,0,39,0,6.92028,69.6575
1,1,22,0,7.58903,79.3811
0,1,16,0,7.45948,67.5465
2,0,39,1,7.21772,69.9725
1,1,16,0,9.07271,115.301
3,0,39,1,7.38596,74.9511
2,0,39,1,7.9805,94.597
1,1,20,0,8.18195,86.9738
0,1,16,0,5.35115,34.5622
2,1,22,0,5.63523,39.4152
1,1,20,0,7.74534,78.2011
0,1,16,0,5.86582,40.075
3,0,39,1,5.84282,49.7277
1,1,16,0,7.9571,87.2341
0,1,27,0,7.91685,99.1706
3,0,39,1,7.28727,70.4811
1,0,39,0,7.21262,77.521
0,1,16,0,9.44155,125.607
1,1,16,0,8.35324,87.4687
1,1,27,0,6.86456,57.4874
1,1,16,0,10.6116,142.44
2,0,39,1,8.25174,98.9098
1,0,39,0,7.42695,74.4488
2,0,39,1,7.42218,69.5414
0,1,20,0,9.90455,128.26
1,0,39,0,8.27318,103.476
2,0,39,1,7.38586,75.1918
0,0,39,0,7.00678,63.5154
2,1,27,0,8.57439,111.145
1,0,39,0,8.47647,101.091
2,0,39,1,7.92909,90.6485
0,1,16,0,9.34913,124.628
0,0,39,0,8.7437,127.019
0,0,39,0,8.70888,110.479
1,1,16,0,7.72595,69.5838
0,1,27,0,8.58699,93.0637
1,0,39,0,80.2879,210490
2,0,39,1,7.60633,82.7539
0,0,39,0,8.14679,95.3557
1,0,39,0,7.34319,78.1163
2,0,39,1,7.82,86.5413
3,0,39,1,7.44496,73.0207
0,0,39,0,8.07791,89.5224
1,0,39,0,7.58893,80.5162
2,0,39,1,8.43156,114.134
1,1,27,0,7.04767,62.0797
3,0,39,1,7.40505,81.5124
1,1,16,0,8.17055,82.0287
3,1,20,0,8.56762,94.3593
1,0,39,0,7.42825,78.1419
1,1,16,0,8.33662,86.1237
1,1,16,0,9.12269,116.912
1,1,27,0,8.53886,99.9466
2,1,16,0,9.68684,127.514
0,0,39,0,6.64942,56.1642
3,0,39,1,8.50096,107.206
2,0,39,1,7.65969,82.1029
1,1,16,0,9.45268,125.243
0,0,39,0,7.55405,82.1945
0,1,16,0,8.35539,94.4932
2,0,39,1,6.98601,64.4547
2,1,20,0,8.37459,97.0666
0,0,39,0,6.82101,64.276
1,1,22,0,9.01278,111.831
2,1,22,0,9.09946,112.741
2,0,39,1,9.01299,124.462
2,1,27,0,8.49353,101.216
1,0,39,0,8.49095,106.657
3,1,22,0,8.51162,95.1871
1,1,22,0,9.14366,99.9178
2,1,27,0,9.32661,124
1,1,22,0,8.08084,79.8268
0,0,39,0,7.76325,95.9029
1,0,39,0,6.90064,65.8696
1,0,39,0,6.80883,66.095
2,1,22,0,9.40632,130.397
1,1,16,0,6.7098,57.4069
0,1,20,0,8.30412,90.4647
3,0,39,1,6.36668,55.6389
1,1,20,0,7.56869,72.8279
1,0,39,0,7.05431,71.0086
1,0,39,0,6.69896,59.1592
0,0,39,0,6.54528,58.7167
2,0,39,1,7.2484,72.2313
2,0,39,1,6.7112,67.2549
3,0,39,1,7.27727,81.1655
3,1,22,0,7.19668,70.0586
1,0,39,0,6.55782,59.7079
0,0,39,0,88.1246,265379
0,1,27,0,6.24959,53.4834
3,0,39,1,6.38771,51.46
2,0,39,1,8.83068,111.251
2,0,39,1,6.3672,57.2303
1,1,16,0,8.86977,109.677
1,0,39,0,5.90228,46.5102
