targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
2,0,39,1,4.94398,32.6066
1,1,8,0,6.4281,52.5695
1,0,39,0,5.79588,49.3757
0,1,8,0,4.69661,29.6684
2,0,39,1,7.24453,65.9018
1,1,16,0,3.1482,12.6447
2,0,39,1,5.8679,53.9801
2,0,39,1,7.44841,86.2942
1,1,16,0,5.42036,41.0662
0,1,8,0,6.88025,70.2384
1,1,20,0,6.17987,52.9949
1,1,27,0,5.79308,48.6126
2,0,39,1,5.71522,45.5941
0,0,39,0,5.63423,45.1225
1,0,39,0,5.83958,46.5094
0,0,39,0,5.44488,44.0881
2,0,39,1,5.92846,52.7376
2,0,39,1,6.26592,52.0023
2,1,27,0,5.02591,36.6687
3,0,39,1,7.15534,67.2949
1,0,39,0,5.80005,46.7485
1,0,39,0,6.52832,65.2094
2,0,39,1,6.17432,63.8121
1,1,20,0,5.69921,47.2909
1,0,39,0,5.54873,40.5708
1,1,22,0,5.57537,48.2848
1,0,39,0,5.74604,48.0546
1,1,8,0,5.21671,34.9581
0,0,39,0,6.16372,57.1474
2,0,39,1,5.73178,54.3439
1,1,20,0,8.31783,90.0141
3,1,22,0,6.10137,58.543
0,0,39,0,4.60484,28.6598
3,0,39,1,5.1012,36.6729
1,0,39,0,5.66744,42.6868
0,1,20,0,6.33655,55.4752
1,0,39,0,5.77247,47.4818
1,1,16,0,5.35776,41.8451
1,1,8,0,5.80355,37.5434
2,0,39,1,5.49344,45.7073
0,1,22,0,6.23204,65.2702
1,1,20,0,7.90958,96.1635
2,0,39,1,5.12443,37.1514
2,0,39,1,6.10634,54.6026
0,0,39,0,6.64023,62.5117
0,0,39,0,5.76835,43.0082
2,0,39,1,5.00395,34.0802
0,1,8,0,5.16772,42.0004
0,0,39,0,5.89643,50.1267
2,0,39,1,8.15406,104.69
1,0,39,0,5.18118,37.4198
0,1,16,0,8.04077,96.3363
1,0,39,0,6.94763,74.1956
0,0,39,0,4.62704,33.1813
1,0,39,0,7.37006,75.4391
1,1,16,0,6.20362,57.5211
1,1,8,0,4.21013,25.5506
1,1,22,0,6.31829,50.4826
2,0,39,1,7.74271,88.04
0,0,39,0,5.80117,46.4385
2,0,39,1,6.25046,63.3916
3,0,39,1,6.22676,51.3449
1,1,22,0,5.49698,46.8617
0,1,27,0,6.4519,62.8764
1,0,39,0,5.83582,47.3268
0,1,8,0,5.1479,40.4707
2,0,39,1,5.22172,46.6734
0,0,39,0,6.83851,66.8976
0,1,16,0,5.7645,48.9027
1,1,8,0,5.64571,45.4406
0,1,8,0,3.34658,15.8189
1,0,39,0,5.26572,45.2875
0,1,16,0,4.46452,31.1549
2,0,39,1,5.73983,46.6768
2,0,39,1,4.65869,34.3267
0,0,39,0,5.9431,55.1965
1,0,39,0,6.35597,63.1846
2,1,27,0,4.75946,32.0792
1,1,20,0,6.16615,53.5158
1,0,39,0,6.48249,64.2282
2,0,39,1,7.27255,77.8895
1,0,39,0,5.76992,46.6449
1,1,16,0,5.59874,45.1916
0,1,16,0,4.69049,30.9801
1,0,39,0,5.58942,42.3392
1,1,8,0,7.28024,72.722
1,0,39,0,5.45503,41.2891
1,1,16,0,5.61553,43.4731
1,1,22,0,4.94805,35.9247
1,1,20,0,5.09487,42.454
2,0,39,1,4.37533,30.0425
1,0,39,0,5.61392,48.0573
1,0,39,0,4.87036,30.9045
0,0,39,0,5.21136,42.9016
1,0,39,0,5.1105,40.3492
0,0,39,0,4.59035,29.8496
0,0,39,0,4.89863,37.6738
0,1,8,0,4.30462,23.9292
1,0,39,0,5.03547,36.9295
0,0,39,0,5.9124,44.2378
1,0,39,0,5.83024,48.2926
2,0,39,1,4.97039,32.2803
0,0,39,0,4.60105,33.1105
0,0,39,0,7.28407,78.2232
1,0,39,0,5.58589,50.7581
1,0,39,0,4.86371,38.2566
0,0,39,0,5.29227,45.5939
1,0,39,0,4.455,31.6921
1,1,16,0,5.41837,38.4707
0,0,39,0,4.55228,29.1469
1,1,8,0,4.17638,26.0279
2,1,16,0,6.05612,48.3473
1,0,39,0,5.22016,39.5579
1,1,27,0,4.77319,32.0629
1,0,39,0,5.05796,41.6519
2,1,27,0,5.54151,43.8579
0,0,39,0,4.54773,27.5844
0,1,8,0,6.30253,58.752
1,0,39,0,5.9269,50.1215
1,0,39,0,5.1222,36.7569
0,1,8,0,6.40406,60.5437
0,0,39,0,5.49949,47.8678
1,0,39,0,5.22958,36.8757
2,0,39,1,5.91787,49.1072
2,0,39,1,6.17014,66.8518
1,0,39,0,5.26941,36.5932
1,0,39,0,6.05151,56.9829
0,1,16,0,5.11059,46.1373
0,0,39,0,5.85206,48.7692
0,0,39,0,4.95778,36.5946
1,0,39,0,6.84746,61.3926
1,1,20,0,5.99474,46.5801
1,0,39,0,5.12321,40.2801
3,0,39,1,6.02365,55.2148
3,0,39,1,5.66187,45.4434
1,0,39,0,5.91056,46.9057
2,0,39,1,4.9809,37.0883
1,0,39,0,7.10824,72.3879
2,1,20,0,5.31892,45.2492
2,0,39,1,4.96668,34.5635
2,0,39,1,5.54995,41.1588
1,1,22,0,5.82405,46.5363
0,1,8,0,6.18152,53.7709
1,0,39,0,4.61436,27.5769
0,0,39,0,5.24987,37.2452
1,0,39,0,4.74641,32.609
0,0,39,0,5.28924,39.2573
4,0,39,1,5.1634,43.1543
3,0,39,1,6.48042,59.2278
1,1,22,0,5.59437,55.9448
0,1,16,0,4.90462,36.4127
0,1,22,0,5.13158,39.1231
2,0,39,1,5.82455,47.4608
3,0,39,1,5.97874,49.5417
2,0,39,1,6.66792,62.4867
0,1,8,0,5.6503,39.0565
1,1,20,0,5.95944,50.8098
1,0,39,0,6.00278,50.614
0,1,8,0,5.14187,35.6591
0,0,39,0,5.84888,47.4965
1,0,39,0,6.26766,53.7728
0,0,39,0,6.04446,44.6228
3,0,39,1,6.73516,62.3874
2,1,27,0,5.44899,46.4811
1,1,20,0,6.40142,57.9689
0,1,27,0,5.8878,54.5873
1,1,20,0,7.49814,95.7838
2,0,39,1,6.12148,58.4681
1,1,16,0,5.68291,52.218
2,0,39,1,6.42785,59.7118
0,1,16,0,5.40378,41.2977
3,0,39,1,5.91052,49.6331
1,0,39,0,6.52296,59.3229
1,1,20,0,5.14918,40.9265
2,0,39,1,5.10449,42.5066
1,0,39,0,6.19449,50.2633
1,0,39,0,5.85425,44.4076
2,0,39,1,5.90236,48.9942
2,1,20,0,6.82518,74.4351
1,0,39,0,5.11474,40.3291
1,0,39,0,5.45,47.8021
0,0,39,0,6.04626,54.5427
2,1,27,0,6.14956,48.622
0,0,39,0,5.96271,59.0351
3,0,39,1,6.65996,62.7355
0,1,16,0,7.63181,81.5884
1,0,39,0,4.55121,31.259
1,0,39,0,5.3858,43.3012
1,1,8,0,4.33365,26.874
3,0,39,1,5.63782,48.8172
1,0,39,0,7.00033,71.7439
1,0,39,0,6.12161,58.2605
0,0,39,0,4.7644,31.0073
2,0,39,1,5.34511,38.853
3,0,39,1,5.36578,40.3727
1,0,39,0,5.14044,35.0914
0,1,16,0,5.90589,49.0232
1,0,39,0,5.85859,46.4462
1,0,39,0,55.5892,98832.7
2,0,39,1,5.79025,44.9378
0,1,8,0,6.60828,64.5415
2,0,39,1,5.64359,43.4711
1,0,39,0,4.95585,43.0685
0,1,8,0,5.5736,35.4851
0,1,8,0,5.62663,49.5177
1,1,16,0,5.09029,42.1973
3,0,39,1,5.16594,36.3203
1,0,39,0,5.72458,49.3089
1,0,39,0,5.24812,34.0806
1,0,39,0,5.14984,37.3149
3,0,39,1,5.3049,40.6408
2,1,27,0,5.11889,40.74
0,0,39,0,5.12141,39.8331
0,1,27,0,5.24032,41.4971
0,0,39,0,6.40627,56.6097
3,1,27,0,6.55879,61.1674
0,0,39,0,5.36824,49.1287
1,0,39,0,5.27469,38.1821
0,0,39,0,4.87586,33.0452
3,0,39,1,5.11889,39.1821
2,0,39,1,6.78192,68.3391
2,1,20,0,6.01031,52.9717
3,1,22,0,5.92067,45.4984
3,0,39,1,4.88241,39.8991
0,0,39,0,5.14926,34.8204
1,0,39,0,5.02818,41.1958
1,1,22,0,6.09596,51.7324
3,0,39,1,5.96835,51.501
2,0,39,1,6.21292,65.3501
2,0,39,1,6.34823,55.0169
1,0,39,0,5.02129,36.6182
0,0,39,0,5.5344,41.9241
0,1,8,0,3.99843,21.9011
2,1,27,0,5.57628,54.5936
0,0,39,0,5.04586,34.7779
2,1,22,0,4.90867,35.7228
2,0,39,1,5.75129,48.5474
1,1,27,0,5.60652,41.49
1,0,39,0,5.61845,43.6724
1,0,39,0,5.49115,45.0645
1,1,20,0,4.51125,26.7712
1,0,39,0,5.68462,43.7734
1,0,39,0,5.45646,49.3464
1,1,8,0,5.7663,55.0685
0,0,39,0,4.56548,31.7146
2,0,39,1,5.88075,48.1953
2,0,39,1,4.74642,32.0271
0,0,39,0,4.90044,37.6972
1,1,8,0,5.8908,41.5784
1,0,39,0,5.78168,49.2976
1,0,39,0,5.09597,35.3071
2,0,39,1,7.73658,100.177
4,0,39,1,5.64035,51.0157
1,1,8,0,6.23725,66.327
1,1,22,0,5.36736,43.0882
1,1,16,0,6.84536,64.8284
1,0,39,0,6.25726,62.9075
1,1,27,0,5.60672,44.7839
1,0,39,0,5.41532,42.0579
0,1,16,0,4.96975,34.6532
1,0,39,0,5.53222,45.452
1,0,39,0,6.72455,61.9086
1,0,39,0,6.35916,59.1961
0,1,27,0,6.13672,56.1003
1,1,22,0,6.7171,59.3071
1,1,8,0,4.39869,28.0027
1,0,39,0,5.72406,48.2659
0,0,39,0,6.52138,57.6151
2,0,39,1,5.771,48.3096
2,0,39,1,6.38986,58.4229
1,0,39,0,5.08695,40.0883
0,0,39,0,6.27165,52.303
0,0,39,0,4.91225,32.916
1,1,20,0,5.13025,37.9171
2,0,39,1,5.2802,43.03
0,1,27,0,5.85057,47.9989
2,0,39,1,5.24521,38.8459
0,0,39,0,5.96722,47.5554
2,0,39,1,6.14306,58.6692
1,0,39,0,5.0322,36.3358
1,1,8,0,4.17109,22.3588
0,1,8,0,8.08745,107.53
2,1,16,0,6.09568,46.5979
0,1,20,0,7.4457,85.3214
1,1,22,0,7.55622,74.2224
1,0,39,0,7.16281,79.0631
2,0,39,1,7.14092,70.5107
1,1,16,0,5.6299,41.1625
1,0,39,0,5.46529,43.681
1,1,27,0,5.53292,43.6396
1,1,16,0,3.64548,18.6089
2,1,27,0,4.67822,41.9726
0,0,39,0,5.77724,41.9313
1,0,39,0,4.10517,22.4393
1,0,39,0,5.16007,37.3936
2,1,20,0,5.98463,49.3517
2,0,39,1,6.56118,61.7303
0,0,39,0,7.74994,114.69
2,0,39,1,7.71872,90.9222
1,1,16,0,7.02406,75.7883
1,0,39,0,6.74,62.5261
1,1,8,0,6.25478,60.2475
1,0,39,0,7.8617,98.7865
2,0,39,1,5.34318,40.9289
1,0,39,0,6.26098,60.226
2,1,27,0,7.96421,95.9449
1,1,20,0,7.10492,65.9688
1,1,8,0,6.20997,62.2337
2,0,39,1,6.99073,64.8525
1,0,39,0,5.10078,38.8924
3,0,39,1,6.16742,51.8541
3,0,39,1,5.75906,52.1667
1,0,39,0,6.20256,64.0124
0,0,39,0,5.52434,43.2248
2,0,39,1,6.79056,63.2025
2,0,39,1,4.8099,30.9564
1,0,39,0,4.79649,35.1057
2,0,39,1,6.12365,53.3018
2,0,39,1,5.0761,33.722
1,1,8,0,5.47474,46.0352
1,0,39,0,58.9401,105362
0,1,20,0,5.93356,46.9244
1,1,16,0,6.46472,63.288
0,1,20,0,5.66062,43.0704
1,0,39,0,6.58862,62.8576
1,0,39,0,4.81537,31.3832
2,0,39,1,5.29941,45.6662
3,0,39,1,5.84053,50.2154
2,1,27,0,6.46944,59.4447
0,0,39,0,5.9729,47.0751
1,0,39,0,7.32546,70.0465
3,0,39,1,6.97519,76.0129
1,1,16,0,5.84638,53.1794
0,1,8,0,4.74744,35.7622
1,0,39,0,8.10027,96.8051
2,0,39,1,5.81102,57.1701
2,1,20,0,4.79993,42.1072
0,1,16,0,5.6458,57.4261
1,0,39,0,5.8923,54.2181
1,0,39,0,5.37778,39.0833
3,0,39,1,5.00169,34.0947
2,0,39,1,5.87544,57.5154
1,0,39,0,5.83291,54.9311
0,0,39,0,6.28072,54.4418
1,1,20,0,6.25706,58.1817
2,1,20,0,6.41388,59.3665
1,1,8,0,7.96734,84.0949
0,0,39,0,5.469,44.9398
2,1,16,0,5.94508,53.4236
1,0,39,0,5.93518,51.8032
1,1,27,0,7.26124,73.7713
1,1,16,0,8.05671,124.122
1,1,8,0,4.96551,37.2893
1,0,39,0,5.57882,41.9685
1,0,39,0,5.44609,42.9993
2,0,39,1,6.08309,46.3427
1,1,16,0,6.09245,58.2111
2,0,39,1,8.08188,92.2392
0,1,22,0,6.25962,53.0459
1,1,22,0,5.12571,41.478
1,1,20,0,5.7016,51.9532
0,1,20,0,3.6997,19.1376
1,1,27,0,5.15581,41.5212
1,1,27,0,3.86221,21.126
0,1,16,0,5.04244,37.9593
2,0,39,1,6.58575,66.7227
1,0,39,0,6.73026,59.4298
1,1,27,0,8.07815,83.7762
0,1,8,0,3.73969,21.3399
1,0,39,0,6.9319,71.871
0,0,39,0,7.25793,84.0753
1,1,8,0,4.50368,25.2876
1,1,22,0,7.43802,98.2648
1,0,39,0,5.25965,42.0375
1,0,39,0,6.5407,59.2709
1,1,16,0,6.80523,81.9037
2,0,39,1,5.81387,46.3235
3,0,39,1,7.87666,96.5555
1,1,22,0,5.34187,46.3605
1,1,20,0,6.76795,88.4928
2,0,39,1,7.82389,97.8046
0,0,39,0,5.43999,42.4436
1,0,39,0,5.87631,49.7332
1,0,39,0,5.39877,41.7118
1,1,27,0,7.31185,71.2804
1,1,20,0,4.54765,32.8394
0,1,16,0,4.66788,35.3711
0,0,39,0,4.83917,31.4498
0,0,39,0,5.24006,35.1061
